name,boronum,X,Y,SEGMENT,AnnoAngle,AnnoLine1,AnnoLine2,AnnoLine3,Borough,OBJECTID,Stacked
BREWERTON,,,,,,,,,,,
BREWSTER,,,,,,,,,,,
BREWSTER HILL,,,,,,,,,,,
BRIARCLIFF MANOR,,,,,,,,,,,
BRIARWOOD,4,1036440.0058,198345.53938,1,0,Briarwood,,,QUEENS,162,1
BRIDGEHAMPTON,,,,,,,,,,,
BRIDGEPORT,,,,,,,,,,,
BRIDGEWATER,,,,,,,,,,,
BRIGHTON,,,,,,,,,,,
BRIGHTON BEACH,3,993946.51111,149431.29928,1,0,Brighton,Beach,,BROOKLYN,52,2
BRIGHTWATERS,,,,,,,,,,,
BRINCKERHOFF,,,,,,,,,,,
BROAD CHANNEL,4,1034217.8699,159026.5652,1,0,Broad,Channel,,QUEENS,174,2
BROADALBIN,,,,,,,,,,,
BROADWAY JUNCTION,3,1011067.2813,186254.27091,1,0,Broadway,Junction,,BROOKLYN,285,2
BROCKPORT,,,,,,,,,,,
BROCTON,,,,,,,,,,,
BRONX,2,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
BRONXVILLE,,,,,,,,,,,
BROOKHAVEN,,,,,,,,,,,
BROOKLYN,3,998572.93099,161293.33593,1,0,Madison,,,BROOKLYN,299,1
BROOKLYN HEIGHTS,3,985974.16846,192798.43171,1,0,Brooklyn,Heights,,BROOKLYN,65,2
BROOKVILLE,4,1053125.3081,179830.95633,1,0,Brookville,,,QUEENS,196,1
BROWNSVILLE,3,1009153.4679,181184.02056,1,0,Brownsville,,,BROOKLYN,61,1
BROWNVILLE,,,,,,,,,,,
BRUSHTON,,,,,,,,,,,
BUCHANAN,,,,,,,,,,,
BUFFALO,,,,,,,,,,,
BULLS HEAD,5,939988.88904,161407.39377,1,0,Bulls,Head,,STATEN ISLAND,249,2
BURDETT,,,,,,,,,,,
BURKE,,,,,,,,,,,
BUSHWICK,3,1004975.1137,193627.82375,1,0,Bushwick,,,BROOKLYN,63,1
BUTLER MANOR,5,920428.05119,123739.46911,1,0,Butler,Manor,,STATEN ISLAND,241,2
CAIRO,,,,,,,,,,,
CALCIUM,,,,,,,,,,,
CALEDONIA,,,,,,,,,,,
CALLICOON,,,,,,,,,,,
CALVERTON,,,,,,,,,,,
CAMBRIA HEIGHTS,4,1057662.7475,191783.85828,1,0,Cambria,Heights,,QUEENS,171,2
CAMBRIDGE,,,,,,,,,,,
CAMDEN,,,,,,,,,,,
CAMILLUS,,,,,,,,,,,
CANAJOHARIE,,,,,,,,,,,
CANANDAIGUA,,,,,,,,,,,
CANARSIE,3,1011424.051,170844.78566,1,0,Canarsie,,,BROOKLYN,75,1
CANASERAGA,,,,,,,,,,,
CANASTOTA,,,,,,,,,,,
CANDOR,,,,,,,,,,,
CANISTEO,,,,,,,,,,,
CANTON,,,,,,,,,,,
CAPE VINCENT,,,,,,,,,,,
CARLE PLACE,,,,,,,,,,,
CARMEL HAMLET,,,,,,,,,,,
CARNEGIE HILL,1,997195.00986,224432.68111,1,0,Carnegie,Hill,,MANHATTAN,250,2
CARROLL GARDENS,3,984146.61831,187795.46107,1,0,Carroll,Gardens,,BROOKLYN,67,2
CARTHAGE,,,,,,,,,,,
CASSADAGA,,,,,,,,,,,
CASTILE,,,,,,,,,,,
CASTLE HILL,2,1026313.8693,237702.66638,1,0,Castle,Hill,,BRONX,41,2
CASTLETON CORNERS,5,951160.56059,162753.71719,1,0,Castleton,Corners,,STATEN ISLAND,211,2
CASTLETON-ON-HUDSON,,,,,,,,,,,
CASTORLAND,,,,,,,,,,,
CATO,,,,,,,,,,,
CATSKILL,,,,,,,,,,,
CATTARAUGUS,,,,,,,,,,,
CAYUGA,,,,,,,,,,,
CAYUGA HEIGHTS,,,,,,,,,,,
CAZENOVIA,,,,,,,,,,,
CEDARHURST,,,,,,,,,,,
CELORON,,,,,,,,,,,
CENTER MORICHES,,,,,,,,,,,
CENTEREACH,,,,,,,,,,,
CENTERPORT,,,,,,,,,,,
CENTRAL HARLEM,1,999969.0719,236564.30776,1,0,Central,Harlem,,MANHATTAN,108,2
CENTRAL ISLIP,,,,,,,,,,,
CENTRAL SQUARE,,,,,,,,,,,
CENTRAL VALLEY,,,,,,,,,,,
CENTRE ISLAND,,,,,,,,,,,
CHAMPLAIN,,,,,,,,,,,
CHAPPAQUA,,,,,,,,,,,
CHARLESTON,5,919713.54638,132649.01986,1,0,Charleston,,,STATEN ISLAND,242,1
CHATEAUGAY,,,,,,,,,,,
CHATHAM,,,,,,,,,,,
CHAUMONT,,,,,,,,,,,
CHEEKTOWAGA,,,,,,,,,,,
CHELSEA,1,983386.47088,210348.55442,1,0,Chelsea,,,MANHATTAN,119,1
CHELSEA,5,931605.56263,156008.09879,1,0,Chelsea,,,STATEN ISLAND,247,1
CHERRY CREEK,,,,,,,,,,,
CHERRY VALLEY,,,,,,,,,,,
