APARTMENT,APT
BASEMENT,BSMT
BUILDING,BLDG
DEPARTMENT,DEPT
FLOOR,FL
FLOOR,FLR
FRONT,FRNT
HANGAR,HNGR
LOBBY,LBBY
LOWER,LOWR
OFFICE,OFC
PENTHOUSE,PH
FRONT,RM
SPACE,SPC
SUITE,STE
TRAILER,TRLR
UPPER,UPPR
