URSULA
VINCENT
PATRICK
ADALB
ALBAN
ANDRE
ANN
CHARLES
ANTHONY
AUGUSTINE
AUSTIN
BARNABAS
BRENDAN
CLAIR
DIEGO
DONATO
EDWARD
FELIX
FRANC
GEORGE
JAMES
JDIEGO
JOHN
JOSEPH
JUAN
JUDE
JULIAN
LAWRENCE
LUKE
MALACHY
MARK
MARY
MATTHEW
MICHAEL
MONICA
NIC
OUEN
PAUL
PETER
RAYMOND
STEPHEN
THERESA
TERESA
VINCENT
