name,boronum
TOTTENVILLE,5
TRAVIS,5
TRIBECA,1
TUDOR CITY,1
TURTLE BAY,1
UNIONPORT,2
UNIVERSITY HEIGHTS,2
UPPER EAST SIDE,1
UPPER WEST SIDE,1
UTOPIA,4
VAN NEST,2
VINEGAR HILL,3
WAKEFIELD,2
WASHINGTON HEIGHTS,1
WEEKSVILLE,3
WEST BRIGHTON,5
WEST FARMS,2
WEST VILLAGE,1
WESTCHESTER SQUARE,2
WESTERLEIGH,5
WHITESTONE,4
WILLIAMSBRIDGE,2
WILLIAMSBURG,3
WILLOWBROOK,5
WINDSOR TERRACE,3
WINGATE,3
WOODHAVEN,4
WOODLAWN,2
WOODROW,5
WOODSIDE,4
YORKVILLE,1
